Loading sequences.
Calculating pairwise edit distance.
608 / 703 > 5017 | opossum | sheep
609 / 703 > 5034 | opossum | squirrel
610 / 703 > 4081 | opossum | wallaroo
611 / 703 > 4983 | opossum | whiteRhinoceros
612 / 703 > 4549 | orangutan | pig
613 / 703 > 2622 | orangutan | pigmyChimpanzee
614 / 703 > 5760 | orangutan | platypus
615 / 703 > 5049 | orangutan | rabbit
616 / 703 > 8839 | orangutan | randgen0
617 / 703 > 8869 | orangutan | randgen1
618 / 703 > 8909 | orangutan | randgen2
619 / 703 > 8853 | orangutan | randgen3
620 / 703 > 4663 | orangutan | rat
621 / 703 > 4646 | orangutan | sheep
622 / 703 > 4700 | orangutan | squirrel
623 / 703 > 5289 | orangutan | wallaroo
624 / 703 > 4530 | orangutan | whiteRhinoceros
625 / 703 > 4436 | pig | pigmyChimpanzee
